Tarih,Coin,Fiyat,RSI,Durum
24.12.2024 - 17:43,BTCUSDT,97188.54,90.16,SAT
24.12.2024 - 17:43,ETHUSDT,3466.49,78.16,SAT
24.12.2024 - 17:43,XRPUSDT,2.3164,79.31,SAT
24.12.2024 - 17:43,DOGEUSDT,0.3326,79.8,SAT
24.12.2024 - 17:43,BNBUSDT,693.57,66.7,BEKLE
24.12.2024 - 17:45,BTCUSDT,97218.29,89.69,SAT
24.12.2024 - 17:45,ETHUSDT,3463.58,76.18,SAT
24.12.2024 - 17:45,XRPUSDT,2.3171,78.72,SAT
24.12.2024 - 17:45,DOGEUSDT,0.3326,78.61,SAT
24.12.2024 - 17:45,BNBUSDT,693.67,67.32,BEKLE
24.12.2024 - 17:50,BTCUSDT,97007.98,84.85,SAT
24.12.2024 - 17:50,ETHUSDT,3459.24,73.23,SAT
24.12.2024 - 17:50,XRPUSDT,2.308,73.76,SAT
24.12.2024 - 17:50,DOGEUSDT,0.3317,75.65,SAT
24.12.2024 - 17:50,BNBUSDT,693.29,66.12,BEKLE
24.12.2024 - 17:55,BTCUSDT,97247.63,89.77,SAT
24.12.2024 - 17:55,ETHUSDT,3456.84,71.65,SAT
24.12.2024 - 17:55,XRPUSDT,2.3089,74.23,SAT
24.12.2024 - 17:55,DOGEUSDT,0.3323,78.01,SAT
24.12.2024 - 17:55,BNBUSDT,693.36,66.36,BEKLE
24.12.2024 - 18:00,BTCUSDT,97461.51,91.17,SAT
24.12.2024 - 18:00,ETHUSDT,3456.45,70.53,SAT
24.12.2024 - 18:00,XRPUSDT,2.3122,75.8,SAT
24.12.2024 - 18:00,DOGEUSDT,0.3331,78.68,SAT
24.12.2024 - 18:00,BNBUSDT,693.89,70.56,SAT
24.12.2024 - 18:05,BTCUSDT,97335.58,88.25,SAT
24.12.2024 - 18:05,ETHUSDT,3452.39,68.2,BEKLE
24.12.2024 - 18:05,XRPUSDT,2.3069,72.99,SAT
24.12.2024 - 18:05,DOGEUSDT,0.3321,75.0,SAT
24.12.2024 - 18:05,BNBUSDT,693.31,68.45,BEKLE
24.12.2024 - 18:10,BTCUSDT,97400.0,89.72,SAT
24.12.2024 - 18:10,ETHUSDT,3445.19,64.11,BEKLE
24.12.2024 - 18:10,XRPUSDT,2.3002,69.73,BEKLE
24.12.2024 - 18:10,DOGEUSDT,0.3314,72.41,SAT
24.12.2024 - 18:10,BNBUSDT,693.13,67.82,BEKLE
24.12.2024 - 18:15,BTCUSDT,97578.48,91.34,SAT
24.12.2024 - 18:15,ETHUSDT,3454.11,68.31,BEKLE
24.12.2024 - 18:15,XRPUSDT,2.3011,69.31,BEKLE
24.12.2024 - 18:15,DOGEUSDT,0.3316,73.44,SAT
24.12.2024 - 18:15,BNBUSDT,694.2,70.23,SAT
24.12.2024 - 18:20,BTCUSDT,97363.56,86.68,SAT
24.12.2024 - 18:20,ETHUSDT,3459.29,70.17,SAT
24.12.2024 - 18:20,XRPUSDT,2.3017,69.52,BEKLE
24.12.2024 - 18:20,DOGEUSDT,0.3314,72.52,SAT
24.12.2024 - 18:20,BNBUSDT,694.43,70.85,SAT
24.12.2024 - 18:25,BTCUSDT,97358.94,86.58,SAT
24.12.2024 - 18:25,ETHUSDT,3478.55,74.58,SAT
24.12.2024 - 18:25,XRPUSDT,2.3157,72.2,SAT
24.12.2024 - 18:25,DOGEUSDT,0.3333,75.48,SAT
24.12.2024 - 18:25,BNBUSDT,696.99,74.34,SAT
24.12.2024 - 18:30,BTCUSDT,97567.49,95.1,SAT
24.12.2024 - 18:30,ETHUSDT,3484.67,80.69,SAT
24.12.2024 - 18:30,XRPUSDT,2.3195,76.96,SAT
24.12.2024 - 18:30,DOGEUSDT,0.3347,81.89,SAT
24.12.2024 - 18:30,BNBUSDT,697.87,83.38,SAT
24.12.2024 - 18:35,BTCUSDT,97703.22,95.27,SAT
24.12.2024 - 18:35,ETHUSDT,3485.0,80.74,SAT
24.12.2024 - 18:35,XRPUSDT,2.3225,77.4,SAT
24.12.2024 - 18:35,DOGEUSDT,0.3366,83.3,SAT
24.12.2024 - 18:35,BNBUSDT,697.4,82.49,SAT
24.12.2024 - 18:37,BTCUSDT,97960.4,95.57,SAT
24.12.2024 - 18:37,ETHUSDT,3484.7,80.69,SAT
24.12.2024 - 18:37,XRPUSDT,2.3224,77.39,SAT
24.12.2024 - 18:37,DOGEUSDT,0.3376,83.96,SAT
24.12.2024 - 18:37,BNBUSDT,696.69,79.66,SAT
24.12.2024 - 18:39,BTCUSDT,98035.97,95.65,SAT
24.12.2024 - 18:39,ETHUSDT,3489.02,81.32,SAT
24.12.2024 - 18:39,XRPUSDT,2.3235,77.55,SAT
24.12.2024 - 18:39,DOGEUSDT,0.3382,84.32,SAT
24.12.2024 - 18:39,BNBUSDT,695.93,76.84,SAT
24.12.2024 - 18:40,BTCUSDT,97935.19,95.54,SAT
24.12.2024 - 18:40,ETHUSDT,3492.32,81.78,SAT
24.12.2024 - 18:40,XRPUSDT,2.3218,77.3,SAT
24.12.2024 - 18:40,DOGEUSDT,0.3374,83.83,SAT
24.12.2024 - 18:40,BNBUSDT,695.47,75.23,SAT
24.12.2024 - 18:45,BTCUSDT,98172.01,95.74,SAT
24.12.2024 - 18:45,ETHUSDT,3509.98,86.19,SAT
24.12.2024 - 18:45,XRPUSDT,2.3341,80.24,SAT
24.12.2024 - 18:45,DOGEUSDT,0.3402,85.15,SAT
24.12.2024 - 18:45,BNBUSDT,697.68,82.13,SAT
24.12.2024 - 18:50,BTCUSDT,98023.06,93.31,SAT
24.12.2024 - 18:50,ETHUSDT,3493.55,81.18,SAT
24.12.2024 - 18:50,XRPUSDT,2.3216,75.78,SAT
24.12.2024 - 18:50,DOGEUSDT,0.3371,77.83,SAT
24.12.2024 - 18:50,BNBUSDT,695.2,74.78,SAT
24.12.2024 - 18:55,BTCUSDT,98231.98,95.8,SAT
24.12.2024 - 18:55,ETHUSDT,3492.58,80.64,SAT
24.12.2024 - 18:55,XRPUSDT,2.3227,76.27,SAT
24.12.2024 - 18:55,DOGEUSDT,0.3363,75.67,SAT
24.12.2024 - 18:55,BNBUSDT,695.27,75.02,SAT
24.12.2024 - 19:00,BTCUSDT,98242.4,98.04,SAT
24.12.2024 - 19:00,ETHUSDT,3492.36,83.34,SAT
24.12.2024 - 19:00,XRPUSDT,2.323,77.44,SAT
24.12.2024 - 19:00,DOGEUSDT,0.3363,77.94,SAT
24.12.2024 - 19:00,BNBUSDT,695.3,79.93,SAT
24.12.2024 - 19:06,BTCUSDT,98077.19,94.41,SAT
24.12.2024 - 19:06,ETHUSDT,3491.04,82.58,SAT
24.12.2024 - 19:06,XRPUSDT,2.3167,74.9,SAT
24.12.2024 - 19:06,DOGEUSDT,0.336,77.1,SAT
24.12.2024 - 19:06,BNBUSDT,695.01,78.82,SAT
24.12.2024 - 19:11,BTCUSDT,98170.74,96.43,SAT
24.12.2024 - 19:11,ETHUSDT,3496.64,84.15,SAT
24.12.2024 - 19:11,XRPUSDT,2.3152,74.25,SAT
24.12.2024 - 19:11,DOGEUSDT,0.3342,72.87,SAT
24.12.2024 - 19:11,BNBUSDT,694.45,76.77,SAT
24.12.2024 - 19:16,BTCUSDT,98312.96,96.32,SAT
24.12.2024 - 19:16,ETHUSDT,3498.65,82.7,SAT
24.12.2024 - 19:16,XRPUSDT,2.3119,71.35,SAT
24.12.2024 - 19:16,DOGEUSDT,0.3349,73.52,SAT
24.12.2024 - 19:16,BNBUSDT,694.88,76.46,SAT
